Hash;Geschlecht;Nachname;Vorname;Strasse;PLZ;Ort;Land;Email;TEL_P;Home-Page;Portraet;;;;;;;;;;;
381;Frau;Staehli - Huber;Benedikt;Vorderbergstrasse 41;8853;Lachen;CH;benedikt.staehli - huber@gmail.ch;055 442 36 48;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
382;Frau;Bieri;Beatrice;Vordere Bahnhofstr. 6;8854;Siebnen;CH;beatrice.bieri@gmail.ch;055 440 46 62;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
383;Herr;Friedlos;Augusta;Vordere Bahnhofstr. 6;8852;Altendorf;CH;augusta.friedlos@gmail.ch;055 442 32 06;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
384;Frau;Weibel;Anton;Vordere Bahnhofstr. 6;8752;Naefels;CH;anton.weibel@gmail.ch;055 612 42 47;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
385;Herr;Senn;Anton;Weinbergstrasse 1;8854;Siebnen;CH;anton.senn@gmail.ch;055 440 37 04;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
386;Familie;Buffat;Anni;Wilenstrasse 35;8852;Altendorf;CH;anni.buffat@gmail.ch;055 282 40 74;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
387;Frau;Buffat;Annemarie;Winterthurerstrasse 91;8852;Altendorf;CH;annemarie.buffat@gmail.ch;055 282 40 74;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
388;Herr;Benz;Annelies;Wollerauerstrasse 40;8853;Lachen;CH;annelies.benz@gmail.ch;055 442 25 61;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
389;Herr;Helbling;Anna;Wysshaltenstrasse 19;8853;Lachen;CH;anna.helbling@gmail.ch;066 451 11 32;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
390;Familie;Zueger;Anna;Zeughausstrasse 17;8853;Lachen;CH;anna.zueger@gmail.ch;055 442 46 29;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
391;Frau;Zueger;Andrin;Zeughausstrasse 17;8853;Lachen;CH;andrin.zueger@gmail.ch;055 442 46 29;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
392;Herr;Knobel;Andrea;Ziegelbrueckstrasse 41;8852;Altendorf;CH;andrea.knobel@gmail.ch;055 442 32 24;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
393;Frau;Lechmann;Alois;Ziegelhuettenstr. 16;8645;Jona;CH;alois.lechmann@gmail.ch;055 210 23 32;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
394;Herr;Schuler;Alois;Ziegelhuettenstrasse 16;8853;Lachen;CH;alois.schuler@gmail.ch;055 460 14 34;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
395;Herr;Weiss;Alfred;Ziegelhuettenstrasse 16;8853;Lachen;CH;alfred.weiss@gmail.ch;055 442 47 87;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
396;Frau;Gyr;Alfons;Ziegelhuettenstrasse 16;8832;Wollerau;CH;alfons.gyr@gmail.ch;044 687 86 83;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
397;Frau;Faeh;Albert;Zuercherstrasse 18 b;8852;Altendorf;CH;albert.faeh@gmail.ch;055 462 26 52;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
399;Frau;Faeh;Agnes;Zuercherstrasse 272;8852;Altendorf;CH;agnes.faeh@gmail.ch;055 462 26 52;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;


